CASE#,DATE  OF OCCURRENCE,BLOCK,IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE394655,10/01/2021 8:29:00 PM,091XX S MERRILL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,413,7,14,1192101,1844718,41.72888962,-87.571875,"(41.728889618, -87.571875003)"
JE395138,10/01/2021 12:30:00 PM,073XX S BLACKSTONE AVE,560,ASSAULT,SIMPLE,APARTMENT,N,N,324,8,08A,1187481,1856417,41.76110373,-87.5884279,"(41.76110373, -87.588427903)"
JE428205,10/30/2021 4:15:00 PM,016XX W HOWARD ST,460,BATTERY,SIMPLE,SIDEWALK,N,N,2422,49,08B,1164257,1950346,42.01937255,-87.67088757,"(42.019372548, -87.670887574)"
JE394194,10/01/2021 3:04:00 PM,070XX S HALSTED ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,TAVERN / LIQUOR STORE,Y,N,732,6,15,1172186,1858083,41.76602521,-87.64443592,"(41.766025213, -87.644435915)"
JE393824,10/01/2021 3:00:00 AM,056XX S MARSHFIELD AVE,810,THEFT,OVER $500,STREET,N,N,715,16,6,1166303,1867332,41.79153293,-87.665736,"(41.791532925, -87.665735995)"
JE394654,10/01/2021 8:45:00 PM,016XX E 74TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,324,8,08B,1188480,1855911,41.75969142,-87.58478269,"(41.759691424, -87.584782692)"
JE391813,09/20/2021 12:00:00 PM,053XX W WILSON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),N,N,1623,45,14,1139665,1930217,41.96462367,-87.76187846,"(41.964623667, -87.761878456)"
JE398315,10/01/2021 1:00:00 AM,051XX N KIMBALL AVE,810,THEFT,OVER $500,GAS STATION,N,N,1713,39,6,1152783,1934036,41.97485303,-87.71354512,"(41.974853031, -87.713545123)"
JE393570,10/01/2021 1:54:00 AM,091XX S STONY ISLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),Y,N,413,8,15,1188515,1844485,41.72833654,-87.58501858,"(41.728336543, -87.58501858)"
JE394688,10/01/2021 9:08:00 PM,048XX W ARMITAGE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2522,36,15,1143463,1912853,41.91690487,-87.74834973,"(41.916904872, -87.748349731)"
JE400139,09/22/2021 9:00:00 AM,016XX E 95TH ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,BANK,N,N,431,7,11,1188861,1842311,41.7223626,-87.58382047,"(41.722362598, -87.58382047)"
JE400282,10/01/2021 2:30:00 PM,013XX W 95TH ST,810,THEFT,OVER $500,SCHOOL - PUBLIC GROUNDS,N,N,2213,21,6,1169194,1841762,41.72130336,-87.6558736,"(41.721303358, -87.655873595)"
JE394774,10/01/2021 9:05:00 PM,041XX N KIMBALL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1723,35,08B,1152984,1927271,41.95628545,-87.71298609,"(41.956285448, -87.712986093)"
JE394353,10/01/2021 4:28:00 PM,020XX E 71ST ST,483,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,CTA BUS,N,N,331,5,04B,1190907,1858321,41.76624637,-87.57581013,"(41.766246365, -87.575810131)"
JE393616,10/01/2021 3:24:00 AM,027XX N LOCKWOOD AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,2514,31,3,1140578,1917641,41.93009717,-87.75883148,"(41.930097166, -87.758831481)"
JE428172,10/30/2021 6:15:00 PM,0000X W 111TH ST,560,ASSAULT,SIMPLE,GAS STATION,N,N,513,34,08A,1178040,1831365,41.69257696,-87.62378635,"(41.692576964, -87.623786349)"
JE394661,10/01/2021 8:20:00 PM,065XX N SEELEY AVE,560,ASSAULT,SIMPLE,APARTMENT,N,N,2412,50,08A,1161445,1943322,42.00015777,-87.68143222,"(42.000157767, -87.681432222)"
JE394733,10/01/2021 9:55:00 PM,035XX N CICERO AVE,560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1731,30,08A,1143746,1923309,41.94559185,-87.74704729,"(41.945591853, -87.747047289)"
JE400400,10/01/2021 8:00:00 AM,048XX N DAMEN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DRUG STORE,N,N,2032,47,11,1162138,1932049,41.96920974,-87.67919956,"(41.969209738, -87.679199562)"
JE397253,10/01/2021 11:20:00 PM,001XX N GREEN ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESTAURANT,N,N,1224,27,11,1170714,1900933,41.88364197,-87.64857951,"(41.883641965, -87.648579514)"
JE429062,10/30/2021 11:00:00 PM,056XX W DIVERSEY AVE,810,THEFT,OVER $500,STREET,N,N,2514,31,6,1138373,1918052,41.93126525,-87.76692444,"(41.931265251, -87.766924444)"
JE397282,10/01/2021 2:30:00 AM,001XX N STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DRUG STORE,N,N,111,42,11,1176338,1901346,41.88465026,-87.62791546,"(41.884650262, -87.627915459)"
JE393571,10/01/2021 1:00:00 AM,059XX S WENTWORTH AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,232,20,3,1175978,1865746,41.78696914,-87.63030736,"(41.786969136, -87.630307356)"
JE393818,10/01/2021 6:30:00 AM,063XX S DR MARTIN LUTHER KING JR DR,610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,N,N,312,20,5,1180014,1862897,41.77905969,-87.6155965,"(41.779059693, -87.615596501)"
JE394442,10/01/2021 5:25:00 PM,034XX N AUSTIN AVE,460,BATTERY,SIMPLE,SCHOOL - PRIVATE GROUNDS,N,N,1633,36,08B,1135778,1922071,41.94234047,-87.77636479,"(41.942340471, -87.776364792)"
JE394752,10/01/2021 10:15:00 PM,006XX N PEORIA ST,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,N,N,1214,27,3,1170267,1904842,41.8943783,-87.65010663,"(41.894378295, -87.650106633)"
JE427999,10/30/2021 2:30:00 PM,002XX E 47TH ST,820,THEFT,$500 AND UNDER,STREET,N,N,215,3,6,1178501,1873910,41.80931493,-87.62080862,"(41.809314925, -87.620808615)"
JE400396,10/01/2021 3:00:00 PM,080XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,612,21,14,1170713,1851454,41.74786663,-87.65002795,"(41.747866627, -87.650027954)"
JE427723,10/30/2021 10:30:00 AM,034XX W ROOSEVELT RD,460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,Y,1021,24,08B,1153551,1894495,41.86633391,-87.71177483,"(41.86633391, -87.711774826)"
JE393745,10/01/2021 12:00:00 AM,003XX E OHIO ST,820,THEFT,$500 AND UNDER,STREET,N,N,1834,42,6,1178625,1904266,41.89261099,-87.61942817,"(41.892610989, -87.619428169)"
JE394540,10/01/2021 6:00:00 PM,083XX S DREXEL AVE,560,ASSAULT,SIMPLE,RESIDENCE,N,N,632,8,08A,1183674,1849931,41.74339509,-87.60258255,"(41.743395092, -87.602582551)"
JE396940,10/01/2021 10:00:00 AM,006XX E 74TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,N,N,323,6,14,1181704,1856087,41.7603335,-87.60961095,"(41.760333501, -87.609610945)"
JE394355,10/01/2021 4:50:00 PM,018XX S ASHLAND AVE,860,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,N,N,1233,25,6,1166007,1891394,41.85756791,-87.6661362,"(41.857567911, -87.666136197)"
JF255029,05/25/2022 7:15:00 AM,014XX S MUSEUM CAMPUS DR,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,OTHER (SPECIFY),N,N,132,4,11,,,,,
JE394666,10/01/2021 6:00:00 PM,079XX S MARQUETTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,422,7,14,1195557,1852855,41.75113362,-87.55894689,"(41.75113362, -87.558946894)"
JE432146,10/30/2021 1:45:00 AM,0000X W ELM ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1824,2,6,1175930,1908090,41.90316534,-87.62921044,"(41.90316534, -87.629210442)"
JE390875,09/28/2021 3:00:00 AM,021XX W 18TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1234,25,7,1162298,1891051,41.85670497,-87.67975999,"(41.856704967, -87.679759986)"
JE459574,11/28/2021 6:30:00 PM,074XX N CLARK ST,330,ROBBERY,AGGRAVATED,DRUG STORE,N,N,2424,49,3,1163065,1949329,42.01660711,-87.67530276,"(42.016607113, -87.675302757)"
JE393553,10/01/2021 12:48:00 AM,002XX N STATE ST,460,BATTERY,SIMPLE,LAKEFRONT / WATERFRONT / RIVERBANK,N,N,111,42,08B,1176319,1902088,41.88668678,-87.62796283,"(41.886686779, -87.627962832)"
JE394577,10/01/2021 7:00:00 PM,066XX S MICHIGAN AVE,560,ASSAULT,SIMPLE,RESIDENCE,N,Y,322,20,08A,1178085,1860873,41.77354959,-87.62272965,"(41.77354959, -87.622729653)"
JE397928,10/01/2021 5:30:00 PM,006XX E 93RD ST,810,THEFT,OVER $500,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,633,9,6,1182300,1843454,41.72565337,-87.60781697,"(41.725653367, -87.607816972)"
JE394717,10/01/2021 10:17:00 PM,058XX N CENTRAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1621,39,14,1138130,1938795,41.98819039,-87.76731393,"(41.988190386, -87.767313927)"
JE397653,10/01/2021 7:00:00 AM,012XX N WESTERN AVE,810,THEFT,OVER $500,FIRE STATION,N,N,1423,26,6,1160181,1908289,41.90405156,-87.68705406,"(41.904051563, -87.687054058)"
JE393819,10/01/2021 9:45:00 AM,074XX S CRANDON AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,N,N,333,7,26,1192833,1856045,41.75995408,-87.56882492,"(41.759954082, -87.56882492)"
JE394862,10/01/2021 11:00:00 PM,003XX W ONTARIO ST,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1831,42,6,1174093,1904430,41.89316328,-87.63606731,"(41.893163281, -87.636067309)"
JE393679,10/01/2021 7:10:00 AM,069XX W BELMONT AVE,810,THEFT,OVER $500,STREET,N,N,1632,36,6,1129702,1920492,41.93811367,-87.79873346,"(41.938113672, -87.798733462)"
JE459987,11/28/2021 11:00:00 PM,027XX E 75TH PL,265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,APARTMENT,N,N,421,7,2,1195731,1855539,41.75849442,-87.55822067,"(41.758494416, -87.558220671)"
JE397982,10/01/2021 12:00:00 AM,023XX W 109TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2212,19,11,1162725,1832279,41.69541765,-87.67983198,"(41.695417654, -87.679831977)"
JE400161,09/20/2021 8:41:00 AM,080XX S PAXTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,414,8,11,1192257,1852064,41.74904392,-87.5710652,"(41.749043916, -87.571065195)"
JE395244,10/01/2021 11:00:00 PM,033XX W MADISON ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,N,Y,1123,28,26,1154142,1899819,41.88093177,-87.70946314,"(41.880931768, -87.709463139)"
JE394464,10/01/2021 4:00:00 PM,016XX S ALBANY AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,SIDEWALK,N,N,1022,24,17,1155975,1891866,41.85907115,-87.70294692,"(41.859071146, -87.702946924)"
JE428201,10/30/2021 4:20:00 PM,100XX S PERRY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,511,9,14,1177374,1838293,41.71160341,-87.62601636,"(41.711603406, -87.626016357)"
JE427945,10/30/2021 6:30:00 AM,003XX E 75TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,323,6,14,1179912,1855363,41.75838795,-87.61620073,"(41.75838795, -87.616200733)"
JE459550,11/28/2021 5:52:00 PM,010XX W LAKE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1214,27,6,1169328,1901620,41.88555738,-87.65364901,"(41.885557376, -87.65364901)"
JE459688,11/28/2021 2:00:00 PM,067XX S EAST END AVE,460,BATTERY,SIMPLE,STREET,N,N,332,5,08B,1188698,1860534,41.77237212,-87.5838361,"(41.772372122, -87.5838361)"
JE458951,11/28/2021 1:30:00 AM,0000X W HUBBARD ST,810,THEFT,OVER $500,BAR OR TAVERN,N,N,1831,42,6,1176050,1903312,41.89005157,-87.62891376,"(41.890051565, -87.62891376)"
JE459733,11/28/2021 10:00:00 PM,014XX N RIDGEWAY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2535,26,08B,1151106,1909353,41.90715406,-87.72036108,"(41.907154055, -87.720361082)"
JE459624,11/28/2021 1:00:00 PM,044XX S DREXEL BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,221,4,14,1182938,1875792,41.81437718,-87.60447613,"(41.814377178, -87.604476134)"
JE396649,10/01/2021 12:30:00 PM,076XX S EXCHANGE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,N,N,421,7,11,1195776,1855003,41.75702248,-87.55807346,"(41.75702248, -87.558073456)"
JE459694,11/28/2021 3:38:00 AM,021XX W SUNNYSIDE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,1911,47,26,1161103,1929857,41.96321641,-87.68306642,"(41.963216407, -87.683066421)"
JE397461,10/01/2021 3:45:00 PM,037XX W POLK ST,545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC BUILDING,N,N,1133,24,08A,1151627,1896117,41.87082287,-87.71879543,"(41.870822871, -87.718795428)"
JE395415,10/01/2021 8:30:00 PM,026XX W 59TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,824,16,26,1159606,1865432,41.78645915,-87.69034481,"(41.786459148, -87.690344809)"
JE400141,09/22/2021 12:00:00 PM,081XX S MARYLAND AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,631,8,11,1183319,1851234,41.74697893,-87.6038428,"(41.74697893, -87.603842804)"
JF226007,04/30/2022 10:21:00 PM,014XX S MUSEUM CAMPUS DR,1330,CRIMINAL TRESPASS,TO LAND,SPORTS ARENA / STADIUM,Y,N,132,4,26,,,,,
JE395429,10/01/2021 9:34:00 PM,012XX N SEDGWICK ST,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1821,27,6,1173433,1908415,41.90411303,-87.63837267,"(41.904113031, -87.638372667)"
JE397951,10/01/2021 12:00:00 PM,038XX W 81ST PL,460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,N,N,834,18,08B,1152277,1850267,41.7449912,-87.71761499,"(41.744991196, -87.717614993)"
JE394748,10/01/2021 10:49:00 PM,057XX W ROOSEVELT RD,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1513,29,04B,1138158,1894100,41.86554191,-87.76829425,"(41.865541907, -87.768294247)"
JE394289,10/01/2021 3:10:00 PM,036XX W HURON ST,870,THEFT,POCKET-PICKING,APARTMENT,N,N,1112,27,6,1151777,1904421,41.89360698,-87.71802614,"(41.893606982, -87.718026137)"
JE393928,10/01/2021 11:10:00 AM,065XX N SHERIDAN RD,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2432,49,6,1167075,1943506,42.00054318,-87.66071547,"(42.000543176, -87.660715471)"
JE394703,10/01/2021 12:30:00 PM,121XX S NORMAL AVE,810,THEFT,OVER $500,RESIDENCE,N,N,523,34,6,1175155,1824468,41.67371525,-87.6345536,"(41.673715251, -87.634553597)"
JE398937,10/01/2021 9:00:00 AM,052XX S DREXEL AVE,890,THEFT,FROM BUILDING,APARTMENT,N,N,233,5,6,,,,,
JE394006,10/01/2021 1:00:00 PM,007XX N OGDEN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1214,27,6,1168983,1905444,41.89605818,-87.65480487,"(41.896058183, -87.654804865)"
JE395527,10/01/2021 5:00:00 AM,011XX N SACRAMENTO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,1211,26,26,1156178,1907355,41.9015704,-87.70178339,"(41.901570399, -87.701783389)"
JE427812,10/30/2021 11:45:00 AM,002XX S LOTUS AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,Y,N,1522,29,18,1139911,1898696,41.8781221,-87.76174645,"(41.878122101, -87.761746452)"
JE394275,10/01/2021 10:05:00 AM,095XX S VANDERPOEL AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2213,19,6,1166295,1841571,41.72084134,-87.66649751,"(41.720841336, -87.666497507)"
JE459053,11/28/2021 7:45:00 AM,005XX E 80TH ST,560,ASSAULT,SIMPLE,APARTMENT,N,Y,624,6,08A,1181409,1852085,41.74935839,-87.6108153,"(41.74935839, -87.610815296)"
JE393544,10/01/2021 12:35:00 AM,031XX W POLK ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1134,24,3,1155558,1896200,41.8709725,-87.70436105,"(41.870972499, -87.704361047)"
JE396029,10/01/2021 3:00:00 PM,006XX E 131ST ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,533,9,26,1182890,1818558,41.65732172,-87.60642536,"(41.657321724, -87.606425363)"
JE428098,10/30/2021 10:00:00 AM,015XX N LEAMINGTON AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2533,37,6,1141759,1909653,41.90815544,-87.75468961,"(41.908155444, -87.754689609)"
JE393919,10/01/2021 2:15:00 AM,093XX S HALSTED ST,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,N,N,2223,21,5,1172618,1842958,41.72451073,-87.64329706,"(41.724510728, -87.643297055)"
JE394718,10/01/2021 10:00:00 PM,059XX W BELMONT AVE,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,N,N,1633,30,3,1136300,1920664,41.93847019,-87.77447989,"(41.938470191, -87.774479888)"
JE393848,10/01/2021 9:54:00 AM,048XX W WASHINGTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,1532,28,14,1144157,1900067,41.88180564,-87.74612149,"(41.881805637, -87.746121485)"
JE393596,10/01/2021 2:30:00 AM,081XX S INGLESIDE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,631,8,08B,1183979,1851242,41.7469855,-87.60142417,"(41.746985503, -87.601424167)"
JE398984,10/01/2021 8:25:00 PM,034XX N HALSTED ST,870,THEFT,POCKET-PICKING,STREET,N,N,1924,44,6,1170308,1923273,41.94495301,-87.64941621,"(41.944953005, -87.649416212)"
JE394389,10/01/2021 1:37:00 PM,031XX N SPRINGFIELD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,2523,30,26,1149787,1920654,41.93819078,-87.72491183,"(41.938190784, -87.724911832)"
JE393603,10/01/2021 2:35:00 AM,057XX W WELLINGTON AVE,560,ASSAULT,SIMPLE,SIDEWALK,N,Y,2514,30,08A,1137733,1919368,41.93488807,-87.76924454,"(41.934888074, -87.769244543)"
JE393668,10/01/2021 6:43:00 AM,068XX S CREGIER AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,N,N,332,5,15,1189379,1860083,41.77111823,-87.58135425,"(41.771118229, -87.581354246)"
JE428395,10/30/2021 10:42:00 PM,018XX N KARLOV AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2534,35,15,1148760,1911922,41.91424932,-87.72891252,"(41.914249324, -87.728912521)"
JE400422,09/15/2021 12:00:00 PM,013XX N NORTH BRANCH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,AUTO / BOAT / RV DEALERSHIP,N,N,1822,27,7,1168467,1909194,41.90635961,-87.65659137,"(41.906359605, -87.656591368)"
JE394475,10/01/2021 6:00:00 PM,066XX S LOWE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,723,6,08B,1173184,1860764,41.7733602,-87.64069877,"(41.773360201, -87.64069877)"
JE394175,10/01/2021 9:00:00 AM,020XX S WENTWORTH AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,914,25,6,1175356,1890580,41.85512976,-87.63184454,"(41.855129758, -87.631844537)"
JE394252,10/01/2021 3:40:00 PM,023XX W VAN BUREN ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,Y,1225,27,04A,1160855,1898111,41.87610831,-87.68486083,"(41.876108306, -87.684860827)"
JE428234,10/30/2021 7:00:00 PM,036XX N WESTERN AVE,560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1921,47,08A,1159727,1924139,41.94755444,-87.68828374,"(41.947554442, -87.688283736)"
JE399834,09/20/2021 7:00:00 AM,050XX W JACKSON BLVD,820,THEFT,$500 AND UNDER,STREET,N,N,1533,28,6,1142867,1898201,41.87670922,-87.7509049,"(41.876709224, -87.750904896)"
JE394195,10/01/2021 3:05:00 PM,006XX E 38TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,212,4,14,1181133,1879916,41.82573557,-87.61096982,"(41.825735567, -87.610969821)"
JE394527,10/01/2021 6:40:00 PM,005XX N LAVERGNE AVE,560,ASSAULT,SIMPLE,SIDEWALK,N,N,1532,37,08A,1142935,1903109,41.89017611,-87.75053284,"(41.890176109, -87.750532837)"
JE397506,10/01/2021 10:00:00 AM,003XX E BENTON PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,114,42,11,1178860,1901675,41.88549579,-87.61864438,"(41.885495793, -87.618644375)"
JE393982,10/01/2021 6:00:00 AM,079XX S VERNON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,624,6,14,1180622,1852405,41.7502546,-87.61368935,"(41.750254604, -87.613689346)"
JE394719,10/01/2021 9:53:00 PM,014XX S KOMENSKY AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1011,24,04B,1149617,1892762,41.86165561,-87.726262,"(41.861655606, -87.726262003)"
JE394520,10/01/2021 6:11:00 PM,063XX S CLAREMONT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,825,16,26,1161831,1862527,41.77844149,-87.68226742,"(41.778441486, -87.682267419)"
JE394265,10/01/2021 11:00:00 AM,073XX S WABASH AVE,320,ROBBERY,STRONG ARM - NO WEAPON,RESIDENCE,N,N,323,6,3,1177994,1856300,41.76100284,-87.62320164,"(41.761002844, -87.623201639)"
JE393577,10/01/2021 2:00:00 AM,069XX N GLENWOOD AVE,460,BATTERY,SIMPLE,BAR OR TAVERN,N,N,2431,49,08B,1165563,1946372,42.00844,-87.66619564,"(42.008439995, -87.666195635)"
JE394807,10/01/2021 11:00:00 PM,007XX W OHIO ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,HIGHWAY / EXPRESSWAY,N,Y,1214,27,08B,1171382,1904084,41.89227386,-87.6460339,"(41.892273859, -87.646033904)"
JE394835,10/01/2021 10:40:00 PM,014XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1233,28,14,1165959,1893057,41.86213236,-87.66626496,"(41.862132355, -87.666264958)"
JE394947,10/01/2021 7:00:00 PM,004XX E 48TH PL,3960,INTIMIDATION,INTIMIDATION,APARTMENT,Y,Y,223,3,08A,1179934,1872957,41.80666709,-87.61558187,"(41.80666709, -87.61558187)"
JE386450,09/25/2021 2:30:00 AM,016XX S PULASKI RD,810,THEFT,OVER $500,RESIDENCE - YARD (FRONT / BACK),N,N,1012,24,6,1149987,1891484,41.85814143,-87.72493703,"(41.858141433, -87.72493703)"
JE399822,10/01/2021 3:00:00 PM,110XX S GREEN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2233,34,7,1172621,1831537,41.69316974,-87.64362115,"(41.693169741, -87.643621148)"
JE393779,10/01/2021 12:08:00 AM,016XX W 79TH ST,460,BATTERY,SIMPLE,SIDEWALK,N,N,611,17,08B,1166608,1852321,41.75033427,-87.66504531,"(41.75033427, -87.665045312)"
JE433512,10/28/2021 2:00:00 AM,015XX N LA SALLE DR,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,N,N,1821,2,2,1174850,1910494,41.90978629,-87.63310538,"(41.909786287, -87.633105375)"
JF110525,12/16/2021 10:30:00 AM,039XX S CALIFORNIA AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,POLICE FACILITY / VEHICLE PARKING LOT,N,N,921,12,17,,,,,
JE395815,10/01/2021 9:30:00 PM,014XX W LAKE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1215,27,14,1166699,1901542,41.88540007,-87.6633054,"(41.885400071, -87.663305399)"
JE394166,10/01/2021 1:40:00 PM,021XX W ADDISON ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1921,47,5,1161562,1923887,41.94682485,-87.68154578,"(41.946824846, -87.681545779)"
JE393888,10/01/2021 10:45:00 AM,061XX S KEDZIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,Y,823,23,08B,1156112,1863570,41.78142054,-87.70320575,"(41.781420538, -87.703205749)"
JE396528,10/01/2021 7:00:00 PM,077XX S CICERO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,N,Y,834,18,08B,1145740,1853048,41.75274863,-87.74149784,"(41.752748627, -87.741497836)"
JE394294,10/01/2021 3:57:00 PM,054XX S CALIFORNIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,923,14,08B,1158633,1868457,41.79478008,-87.69382985,"(41.794780076, -87.693829851)"
JE394996,10/01/2021 1:11:00 PM,004XX E ILLINOIS ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1834,42,6,1179279,1903707,41.89106211,-87.61704346,"(41.891062111, -87.617043461)"
JE393731,10/01/2021 8:00:00 AM,046XX S LANGLEY AVE,810,THEFT,OVER $500,STREET,N,N,221,4,6,1181714,1874414,41.81062424,-87.60900845,"(41.810624238, -87.609008452)"
JE399827,10/01/2021 2:00:00 PM,090XX S HOUSTON AVE,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,N,424,10,04A,1198092,1845654,41.73131055,-87.54989783,"(41.731310548, -87.549897825)"
JE393920,10/01/2021 1:38:00 AM,008XX W 37TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,915,11,14,1171408,1880147,41.82658829,-87.64664153,"(41.826588291, -87.646641526)"
